Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:39:40.009,114307.8,0.002,BTCUSDT
2025-09-30 00:39:40.009,114308.1,0.001,BTCUSDT
2025-09-30 00:39:40.009,114308.3,0.018,BTCUSDT
2025-09-30 00:39:40.009,114308.3,0.002,BTCUSDT
2025-09-30 00:39:40.009,114308.4,0.002,BTCUSDT
2025-09-30 00:39:40.009,114308.7,0.001,BTCUSDT
2025-09-30 00:39:40.009,114309.0,0.002,BTCUSDT
2025-09-30 00:39:40.009,114309.0,0.002,BTCUSDT
2025-09-30 00:39:40.009,114309.7,0.001,BTCUSDT
2025-09-30 00:39:40.009,114309.7,0.002,BTCUSDT
2025-09-30 00:39:40.013,114310.0,0.001,BTCUSDT
2025-09-30 00:39:40.013,114310.0,0.001,BTCUSDT
2025-09-30 00:39:40.013,114310.0,0.001,BTCUSDT
2025-09-30 00:39:40.013,114310.0,0.01,BTCUSDT
2025-09-30 00:39:40.013,114310.0,0.002,BTCUSDT
2025-09-30 00:39:40.013,114310.0,0.039,BTCUSDT
2025-09-30 00:39:40.110,114310.0,0.087,BTCUSDT
2025-09-30 00:39:40.110,114310.0,0.002,BTCUSDT
2025-09-30 00:39:40.110,114310.0,0.002,BTCUSDT
2025-09-30 00:39:40.110,114310.0,0.063,BTCUSDT
2025-09-30 00:39:40.110,114310.0,0.154,BTCUSDT
2025-09-30 00:39:40.112,114310.0,0.02,BTCUSDT
2025-09-30 00:39:40.115,114310.1,0.003,BTCUSDT
2025-09-30 00:39:40.115,114310.1,0.048,BTCUSDT
2025-09-30 00:39:40.115,114310.1,0.001,BTCUSDT
2025-09-30 00:39:40.115,114310.1,0.001,BTCUSDT
2025-09-30 00:39:40.115,114310.1,0.001,BTCUSDT
2025-09-30 00:39:40.115,114310.1,0.001,BTCUSDT
2025-09-30 00:39:40.115,114310.1,0.001,BTCUSDT
2025-09-30 00:39:40.118,114310.1,0.001,BTCUSDT
2025-09-30 00:39:40.118,114310.1,0.001,BTCUSDT
2025-09-30 00:39:40.118,114310.1,0.001,BTCUSDT
2025-09-30 00:39:40.118,114310.1,0.001,BTCUSDT
2025-09-30 00:39:40.118,114310.1,0.001,BTCUSDT
2025-09-30 00:39:40.118,114310.1,0.001,BTCUSDT
2025-09-30 00:39:40.118,114310.6,0.002,BTCUSDT
2025-09-30 00:39:40.118,114310.6,0.024,BTCUSDT
2025-09-30 00:39:40.121,114310.6,0.003,BTCUSDT
2025-09-30 00:39:40.121,114310.6,0.001,BTCUSDT
2025-09-30 00:39:40.121,114310.6,0.001,BTCUSDT
2025-09-30 00:39:40.152,114310.6,0.002,BTCUSDT
2025-09-30 00:39:40.152,114310.6,0.001,BTCUSDT
2025-09-30 00:39:40.152,114310.7,0.001,BTCUSDT
2025-09-30 00:39:40.152,114310.7,0.001,BTCUSDT
2025-09-30 00:39:40.152,114310.7,0.001,BTCUSDT
2025-09-30 00:39:40.229,114310.9,0.031,BTCUSDT
2025-09-30 00:39:41.223,114310.9,0.046,BTCUSDT
2025-09-30 00:39:41.223,114310.9,0.001,BTCUSDT
2025-09-30 00:39:41.223,114310.9,0.003,BTCUSDT
2025-09-30 00:39:41.377,114310.9,0.001,BTCUSDT
2025-09-30 00:39:41.510,114310.9,0.001,BTCUSDT
2025-09-30 00:39:41.803,114310.8,0.054,BTCUSDT
2025-09-30 00:39:42.162,114310.8,0.001,BTCUSDT
2025-09-30 00:39:42.425,114310.9,0.001,BTCUSDT
2025-09-30 00:39:42.457,114310.8,0.056,BTCUSDT
2025-09-30 00:39:42.650,114310.8,0.001,BTCUSDT
2025-09-30 00:39:42.834,114310.8,0.098,BTCUSDT
2025-09-30 00:39:42.982,114310.9,0.144,BTCUSDT
2025-09-30 00:39:42.982,114310.9,0.001,BTCUSDT
2025-09-30 00:39:42.982,114310.9,0.047,BTCUSDT
2025-09-30 00:39:43.044,114310.8,0.437,BTCUSDT
2025-09-30 00:39:43.272,114310.8,0.15,BTCUSDT
2025-09-30 00:39:43.459,114310.9,0.027,BTCUSDT
2025-09-30 00:39:43.781,114310.9,0.004,BTCUSDT
2025-09-30 00:39:43.927,114310.9,0.007,BTCUSDT
2025-09-30 00:39:43.971,114310.8,0.113,BTCUSDT
2025-09-30 00:39:44.170,114310.8,0.02,BTCUSDT
2025-09-30 00:39:44.479,114310.8,0.005,BTCUSDT
2025-09-30 00:39:44.895,114310.8,0.004,BTCUSDT
2025-09-30 00:39:45.113,114310.9,0.027,BTCUSDT
2025-09-30 00:39:45.134,114310.9,0.025,BTCUSDT
2025-09-30 00:39:45.626,114310.8,0.007,BTCUSDT
2025-09-30 00:39:45.626,114310.8,0.002,BTCUSDT
2025-09-30 00:39:46.111,114310.9,0.027,BTCUSDT
2025-09-30 00:39:46.212,114310.9,0.002,BTCUSDT
2025-09-30 00:39:46.414,114310.9,0.008,BTCUSDT
2025-09-30 00:39:46.709,114310.8,0.01,BTCUSDT
2025-09-30 00:39:46.711,114310.9,0.15,BTCUSDT
2025-09-30 00:39:46.827,114310.9,0.002,BTCUSDT
2025-09-30 00:39:46.997,114310.9,0.027,BTCUSDT
2025-09-30 00:39:47.453,114310.9,0.028,BTCUSDT
2025-09-30 00:39:47.453,114310.9,0.006,BTCUSDT
2025-09-30 00:39:47.453,114310.9,0.086,BTCUSDT
2025-09-30 00:39:47.647,114310.8,0.004,BTCUSDT
2025-09-30 00:39:47.658,114310.8,0.001,BTCUSDT
2025-09-30 00:39:47.937,114310.9,0.024,BTCUSDT
2025-09-30 00:39:47.937,114310.9,0.003,BTCUSDT
2025-09-30 00:39:47.943,114310.8,0.077,BTCUSDT
2025-09-30 00:39:48.128,114310.8,0.018,BTCUSDT
2025-09-30 00:39:48.587,114310.8,0.004,BTCUSDT
2025-09-30 00:39:48.922,114310.8,0.002,BTCUSDT
2025-09-30 00:39:48.939,114310.9,0.027,BTCUSDT
2025-09-30 00:39:49.312,114310.8,0.001,BTCUSDT
2025-09-30 00:39:49.405,114310.9,0.001,BTCUSDT
2025-09-30 00:39:49.405,114310.9,0.052,BTCUSDT
